stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
2,3988,3928,2063,0.090833333,111,9999,9999,R,R,0,228,0.5,9999,1,0,3,K,9999,SD,53,2
2,3988,3928,2064,0.134166667,111,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
2,3988,3928,2065,0.291388889,112,0.448,1,F,R,1,230,0.5,608,1,0,2,D,1,SD,53,1
2,3988,3928,2065,0.291388889,112,9999,9999,R,R,0,230,0.5,9999,1,0,2,K,9999,SD,53,2
2,3988,3928,2066,0.178333333,113,0.366,1,F,R,1,235,0.5,147,0,0,1,D,1,SD,53,1
2,3988,3928,2066,0.178333333,113,9999,9999,R,R,0,235,0.5,9999,0,0,1,K,9999,SD,53,2
2,3988,3928,2067,0.125277778,113,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,2,9999,9999,SD,53,0
3,14066,0,3068,0.148611111,101,9999,9999,9999,9999,9999,9999,0.25,9999,3,9,2,9999,9999,SD,53,0
3,14066,0,3069,0.3275,101,9999,9999,9999,9999,9999,9999,0.25,9999,4,9,3,9999,9999,SD,53,0
3,14066,0,3070,0.099722222,101,9999,9999,9999,9999,9999,9999,0.25,9999,4,9,2,9999,9999,SD,53,0
3,14066,0,3071,0.039722222,101,9999,9999,9999,9999,9999,9999,0.25,9999,4,9,3,9999,9999,SD,53,0
3,14066,0,3073,0.196944444,103,9999,9999,9999,9999,9999,9999,0.5,9999,2,9,1,9999,9999,SD,53,0
3,14066,0,3074,0.083333333,103,9999,9999,F,L,0,72,0.5,9999,3,9,1,P,9999,SD,53,1
3,14066,0,3074,0.083333333,103,0.339,1,R,L,1,72,0.5,66,3,9,1,H,1,SD,53,2
3,14066,0,3075,0.063611111,103,9999,9999,9999,9999,9999,9999,0.5,9999,4,9,2,9999,9999,SD,53,0
4,12392,12357,4076,0.1525,101,9999,9999,F,R,0,236,0.5,9999,0,0,2,X,9999,SD,53,1
4,12392,12357,4076,0.1525,101,0.241,1,R,R,1,236,0.5,209,0,0,2,H,0,SD,53,2
4,12392,12357,4077,0.225555556,101,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,3,9999,9999,SD,53,0
4,12392,12357,4078,0.361388889,102,9999,9999,F,R,0,237,0.5,9999,1,0,2,X,9999,SD,53,1
