"D" "sigma" "se.D" "se.sigma" "logLik" "AIC" "maxgrad"
1506.209254 9.13140074675 179.57 0.54521 -826.67 1657.34 -2.12552e-08
1529.97158932 8.92942413959 178.28 0.51592 -817.75 1639.5 -0.00111504
1504.27155974 9.57359429268 180.92 0.58228 -915.591 1835.182 -0.000295433
1611.50663222 8.35064654077 193.76 0.5072 -740.214 1484.428 -0.00269803
1403.96644465 9.80850851861 178.15 0.63583 -884.321 1772.642 -0.00346794
1439.06740904 9.33559676675 176.11 0.5747 -827.223 1658.446 -1.24518e-07
1510.28121604 8.99926327643 175.86 0.51847 -826.371 1656.742 -0.00342665
1613.10341759 8.12993859184 188.54 0.47169 -731.843 1467.686 -8.34864e-10
1337.49757449 10.2132998295 171.07 0.66811 -898.224 1800.448 -0.00957306
1145.31706902 10.2151245478 164.86 0.76143 -770.33 1544.66 -0.000768735
1228.36788718 10.0158512795 167.02 0.69834 -794.354 1592.708 -0.000139044
1237.65956251 9.65083061406 163.82 0.64629 -766.823 1537.646 -0.000226945
1326.75697078 9.99471979796 168.87 0.64615 -856.524 1717.048 -0.00155749
1203.55470723 10.0564235888 159.45 0.67544 -796.133 1596.266 -1.77401e-05
1301.06241014 9.47393550408 172.54 0.64039 -779.422 1562.844 -0.00348552
1414.58960937 9.01209918666 170.19 0.53657 -768.433 1540.866 -6.95262e-05
1669.55667829 8.37848034906 192.95 0.48417 -802.205 1608.41 -9.19571e-08
1432.28691803 9.28954355086 176.28 0.57549 -818.943 1641.886 -0.000193142
1468.98901922 9.86705866866 176.55 0.59969 -948.292 1900.584 -7.23004e-06
1347.15338677 9.38207374842 174.89 0.61928 -779.708 1563.416 -3.53029e-06
1360.5810757 10.063490764 172.45 0.65053 -892.402 1788.804 -0.00148035
1288.38625836 10.0184791097 169.83 0.67564 -833.72 1671.44 -0.000296532
1166.52066156 10.0221991462 162.47 0.71546 -767.216 1538.432 -1.41762e-06
1336.99371674 9.24370120769 167.65 0.57923 -765.627 1535.254 -5.75827e-06
1516.13579027 9.32592558032 195.62 0.62283 -862.993 1729.986 -2.38953e-05
1026.91115257 10.3770019432 162.4 0.86103 -714.672 1433.344 -2.21362e-08
1308.73857352 9.72444152947 170.56 0.64477 -822.649 1649.298 -0.00096382
1264.45208377 9.87230210341 167.71 0.6677 -815.946 1635.892 -8.93652e-05
1328.68908759 9.45942944757 168.43 0.60317 -774.585 1553.17 -0.000429064
1420.49069587 9.5757549514 176.17 0.60104 -862.097 1728.194 -0.00176737
1471.49267611 9.044758251 172.14 0.52185 -802.674 1609.348 -7.96515e-05
1393.04210975 9.51788469968 176.01 0.61013 -830.638 1665.276 -3.83819e-08
1451.41493275 9.24026648041 183.7 0.59629 -811.511 1627.022 -0.0028905
1390.74670526 9.45381993813 177.16 0.61213 -803.43 1610.86 -2.23832e-06
1659.75798375 8.56732325213 190.73 0.49162 -835.821 1675.642 -0.000439276
1241.2679822 9.74190657285 160.2 0.63136 -772.166 1548.332 -3.18355e-06
1279.54640262 9.40864389156 167.27 0.62113 -755.085 1514.17 -6.73176e-05
1629.90856757 8.75247800003 192.85 0.5232 -834.871 1673.742 -2.36626e-06
1598.96523176 8.4617244937 187.8 0.49625 -768.386 1540.772 -0.000107332
1484.95697124 9.20936944296 181.4 0.5681 -837.243 1678.486 -7.47822e-08
1173.23961971 10.071364718 154.04 0.66537 -780.115 1564.23 -0.000569775
1322.74598757 9.73906919444 175.76 0.66407 -833.687 1671.374 -0.00222366
1427.38808172 9.18662533793 178.24 0.57961 -792.078 1588.156 -4.06058e-06
1210.27718377 10.1835088474 162.92 0.70099 -825.396 1654.792 -5.95667e-06
1550.65841417 9.40238125514 185.67 0.57029 -905.859 1815.718 -0.000972235
1042.54927178 10.3765409289 153.63 0.78849 -741.89 1487.78 -1.48078e-06
1209.50671607 10.1607842354 156.53 0.66305 -831.272 1666.544 -0.000200147
1432.74369304 9.36012848799 180.88 0.60129 -821.953 1647.906 -1.35425e-08
1685.31263254 8.81688385023 191.03 0.49946 -860.855 1725.71 -0.00277702
1276.21986812 10.049246726 164.24 0.65565 -839.638 1683.276 -0.00112972
1192.32722283 10.1929713835 165.43 0.72847 -792.977 1589.954 -0.000322019
1494.30469165 8.96154189174 180.25 0.54188 -799.61 1603.22 -7.29313e-06
1404.35251628 9.64083731894 173.81 0.60268 -866.587 1737.174 -1.29503e-05
1421.36499286 9.2344296878 179.36 0.59106 -789.88 1583.76 -5.87689e-05
1139.4454525 10.2740254363 154.84 0.71029 -784.38 1572.76 -6.27428e-05
1501.7529201 9.65030705933 180.01 0.5847 -933.773 1871.546 -1.12355e-05
972.979055534 11.1800809769 150.92 0.91478 -787.047 1578.094 -8.11974e-07
1402.86678342 9.23264684188 174.33 0.57687 -781.247 1566.494 -5.52077e-05
1589.24629172 8.49326082335 181.78 0.47801 -780.815 1565.63 -4.60646e-06
1452.39495676 9.56719932042 171.55 0.56342 -896.384 1796.768 -0.000438719
1282.70725481 10.3197003811 170.88 0.7088 -884.393 1772.786 -1.4029e-05
1265.11526892 10.5278761607 166.89 0.71533 -905.596 1815.192 -6.63522e-05
1396.13008644 9.05805926994 171.85 0.55632 -766.976 1537.952 -0.00562462
1435.0400834 9.63563059445 172.53 0.58102 -887.234 1778.468 -4.38733e-06
1490.55021894 9.35179791412 177.62 0.55865 -879.929 1763.858 -5.99172e-05
1425.1589781 9.31722897561 179.87 0.5974 -836.614 1677.228 -0.000135778
1672.75765371 8.96432437151 186.79 0.49711 -911.884 1827.768 -9.71467e-05
1464.88708865 8.72482660921 181.62 0.54475 -760.378 1524.756 -0.000231692
1634.25811002 8.55737742497 188.45 0.49162 -807.999 1619.998 -2.94546e-05
1120.47801733 10.4040365217 158.9 0.7607 -793.418 1590.836 -6.21575e-07
1637.27110914 8.22260484601 197.2 0.50182 -730.187 1464.374 -0.000439639
1554.32893328 8.5610068252 190.75 0.53263 -762.862 1529.724 -1.83102e-05
1679.79228149 8.89891892074 192.25 0.51143 -888.859 1781.718 -2.75526e-05
1136.89184351 10.6194004644 155.25 0.74415 -838.902 1681.804 -0.00594419
1585.16870198 9.16981420893 185.73 0.54023 -893.412 1790.824 -7.91589e-06
1387.36044246 8.78194058244 170.13 0.53318 -735.227 1474.454 -1.02529e-06
1393.75691502 9.34314123545 173.91 0.5873 -805.158 1614.316 -1.77828e-05
