"D" "g0" "sigma" "se.D" "se.g0" "se.sigma" "logLik" "AIC" "maxgrad"
1493.51503776 0.999999989179 9.2479258566 186.35 1.0817e-05 0.58837 -853.71 1713.42 -2.50656e-05
1401.59559064 0.999999992118 9.65206709046 174.18 7.8828e-06 0.60668 -874.054 1754.108 -0.000440886
1618.86172169 0.999999990443 9.33590307034 193.27 9.5571e-06 0.56807 -922.362 1850.724 -0.000594176
1627.85370266 0.999999991909 8.82627964867 190.89 8.0913e-06 0.5212 -833.679 1673.358 -5.03776e-05
1555.46482834 0.999999989969 9.2517164004 189.65 1.0031e-05 0.57464 -883.059 1772.118 -2.01941e-05
1442.29552436 0.99999999321 9.92906715253 176.78 6.7902e-06 0.61835 -948.13 1902.26 -1.53354e-05
1352.02581854 0.99999999198 9.61362743837 170.78 8.0295e-06 0.61347 -829.41 1664.82 -8.07594e-05
1226.19283638 0.999999992013 9.78553434479 161.9 7.9866e-06 0.65336 -785.037 1576.074 -8.78418e-06
1636.3616645 0.999999989551 8.95301138574 194.79 1.0449e-05 0.54146 -866.188 1738.376 -2.19107e-05
1298.59325989 0.999999990334 9.51081853595 167.96 9.669e-06 0.62132 -784.325 1574.65 -1.9271e-05
1767.03167333 0.999999992141 8.6095486354 194.34 7.8588e-06 0.47025 -884.453 1774.906 -2.01989e-05
1385.1026611 0.99999998974 8.86917185456 176.52 1.026e-05 0.57011 -713.181 1432.362 -2.21295e-05
1250.13169759 0.999999990519 10.1206922172 168.5 9.4806e-06 0.70067 -830.642 1667.284 -0.00102711
1444.32259193 0.999999990909 9.36310992992 177.86 9.0936e-06 0.58209 -855.2 1716.4 -0.00103069
1635.19399867 0.999999992554 8.82455496523 185.66 7.4461e-06 0.49766 -842.153 1690.306 -5.70211e-05
1720.18952624 0.99999998972 8.31579738394 197.6 1.0282e-05 0.4793 -788.523 1583.046 -1.09325e-05
1430.45929 0.999999991722 9.22371381211 175.14 8.2775e-06 0.56657 -814.953 1635.906 -0.000371624
1532.38577608 0.999999992181 9.01434081477 180.01 7.8191e-06 0.52796 -835.435 1676.87 -0.000288201
1490.20705442 0.999999991585 9.49093297201 181.03 8.4153e-06 0.58351 -882.884 1771.768 -0.000802345
1642.84963637 0.999999991145 9.19062305257 192.66 8.8558e-06 0.54622 -929.955 1865.91 -3.17682e-05
1611.10203328 0.999999992775 9.08111619954 186.35 7.2252e-06 0.52643 -879.408 1764.816 -5.00178e-06
1602.36244707 0.999999989498 8.72936383589 188.44 1.0502e-05 0.51515 -821.378 1648.756 -1.36383e-05
1239.93042315 0.999999991263 9.98700261283 167.21 8.7373e-06 0.68952 -804.445 1614.89 -9.08236e-06
1268.69588944 0.99999999288 9.6431320278 155.94 7.1196e-06 0.58483 -789.221 1584.442 -8.85226e-05
1142.19548678 0.999999991566 10.2594789949 152.62 8.4336e-06 0.69348 -786.449 1578.898 -9.7655e-05
1661.24629895 0.999999991047 8.38122808554 188.8 8.9529e-06 0.47161 -796.779 1599.558 -1.36246e-05
1781.46735552 0.999999988682 8.18237092464 198.21 1.1318e-05 0.45246 -826.141 1658.282 -7.80168e-05
1359.4541048 0.999999992671 9.63197169673 171.94 7.3228e-06 0.61649 -829.073 1664.146 -5.98962e-05
