"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
1731.13729813 161.69049717 -2.52339262733 8.80751958087 -2638.69 5285.38 -2.64067e-06
1333.43590315 162.418557528 -2.43683857444 9.24788737089 -2407.97 4823.94 -2.69009e-06
1559.06683578 159.366720593 -2.28033840602 9.04465582904 -2460.66 4929.32 -1.4137e-05
1513.80728995 159.021934945 -2.23122212724 8.40200449675 -2386.98 4781.96 -7.76791e-05
1697.5076835 160.159623677 -2.40268817573 8.63469552572 -2492.23 4992.46 -8.71408e-06
1759.94436541 158.619721556 -2.37423403546 8.96767246096 -2522.76 5053.52 -2.72326e-05
1854.31316149 158.056567061 -2.34150238439 9.51833025946 -2720.84 5449.68 -8.43881e-06
1428.43442464 162.827553181 -2.51794520953 8.70389639943 -2305.88 4619.76 -0.000282203
1662.34864855 160.363784642 -2.3316874289 8.8301234168 -2719.63 5447.26 -2.9418e-07
1818.91534443 160.018722423 -2.55426891566 9.27189795126 -2620.94 5249.88 -1.7706e-05
1769.94387436 160.466790252 -2.38536241446 8.84117845271 -2743.74 5495.48 -2.12967e-07
1761.80353438 161.544678726 -2.5237286671 8.69529977431 -2656.21 5320.42 -2.41846e-06
1684.01769498 158.319451517 -2.25785057079 8.7926209149 -2662.9 5333.8 -2.27303e-05
1747.73130451 159.302955901 -2.35810004712 8.49189859941 -2495.04 4998.08 -8.05243e-06
1553.71351016 159.354571159 -2.33280302835 8.96420339552 -2399.33 4806.66 -3.1464e-06
1647.95509845 160.853271141 -2.41638089387 8.97277283367 -2526.57 5061.14 -1.92806e-06
1747.6863501 160.561076039 -2.45920326429 8.85443469172 -2595.77 5199.54 -4.28668e-05
1607.10505186 161.35901433 -2.40053767941 8.65181928595 -2519.97 5047.94 -8.32037e-07
1857.95838657 160.205150224 -2.39632625638 8.60664803021 -2857.01 5722.02 -0.000117915
1814.13001705 158.823114478 -2.5443896277 8.9899494296 -2221.15 4450.3 -1.78057e-06
1767.5837403 161.060763111 -2.46037210772 9.51230004916 -2806.39 5620.78 -3.21214e-05
1613.48058594 160.987747951 -2.40515193304 9.54762115295 -2597.1 5202.2 -7.06863e-05
1847.63886219 159.216879892 -2.50827886458 9.08620376247 -2620.86 5249.72 -1.01334e-05
